,gyr_time,gyrX,gyrY,gyrZ
70141,139.39228,0.055393752,-3.6320193,1.6287893
70142,139.39429,0.095873803,-3.7939394,1.5984293
70143,139.39631,0.13954964,-3.9510658,1.5654061
70144,139.39823,0.19281286,-4.1033988,1.5313177
70145,139.40021,0.25726137,-4.2546663,1.4956313
70146,139.4022,0.32650355,-4.3883572,1.4578145
70147,139.40421,0.40533313,-4.5097971,1.4162691
70148,139.40616,0.49002165,-4.6147256,1.3747238
70149,139.40818,0.57524282,-4.698349,1.3337111
70150,139.41013,0.66419238,-4.7617321,1.2921658
70151,139.41215,0.75420725,-4.8064733,1.2559468
70152,139.4141,0.84795052,-4.8288436,1.2181299
70153,139.41608,0.94116116,-4.832572,1.1829761
70154,139.41807,1.0375676,-4.8208542,1.1494204
70155,139.42005,1.1403656,-4.7920923,1.1163971
70156,139.42206,1.2383699,-4.7335024,1.0860372
70157,139.42405,1.3347764,-4.6461511,1.0551444
70158,139.42603,1.423726,-4.5103297,1.0253171
70159,139.42804,1.5052186,-4.3457465,1.0029465
70160,139.42997,1.5803198,-4.1555967,0.984837
70161,139.43195,1.6431705,-3.9494679,0.97045594
70162,139.43393,1.6964337,-3.7172403,0.96299905
70163,139.43592,1.7475663,-3.4695663,0.95767277
70164,139.43787,1.7848506,-3.2048481,0.95554221
70165,139.43986,1.8141453,-2.9364014,0.96140116
70166,139.44187,1.8338528,-2.6674223,0.96992326
70167,139.44382,1.8482338,-2.4053671,0.98643488
70168,139.44578,1.8546255,-2.1534321,1.0040118
70169,139.44782,1.8477012,-1.9196066,1.0317086
70170,139.44977,1.8359833,-1.7001621,1.0594054
70171,139.45176,1.8200043,-1.4966966,1.0945592
70172,139.45371,1.798699,-1.3102753,1.1313108
70173,139.45572,1.7736653,-1.1377025,1.1696603
70174,139.45774,1.7528926,-0.98004329,1.2085425
70175,139.45972,1.7305222,-0.83516735,1.2463595
70176,139.46168,1.7134778,-0.70200926,1.2820457
70177,139.46369,1.695901,-0.5768407,1.3156016
70178,139.4657,1.695901,-0.44101948,1.3491575
70179,139.46772,1.7534252,-0.23382555,1.3859091
70180,139.46964,1.8897791,0.094808534,1.4311827
70181,139.47165,2.112952,0.55287224,1.4759239
70182,139.47367,2.411226,1.1275824,1.5259913
70183,139.47565,2.7585022,1.7965685,1.5792545
70184,139.47761,3.0999196,2.4687505,1.6287893
70185,139.47959,3.3886063,3.0679617,1.6714
70186,139.48157,3.6091161,3.5643749,1.7150757
70187,139.48359,3.7529266,3.9569249,1.7512947
70188,139.48554,3.8035266,4.1167145,1.7688717
70189,139.48755,3.8605185,4.459197,1.8189391
70190,139.48951,3.8567901,4.5385594,1.8343854
70191,139.49152,3.8173752,4.6456184,1.8658108
70192,139.49347,3.7449372,4.7036753,1.8961707
70193,139.49546,3.6485307,4.7239151,1.9254655
70194,139.49744,3.5345476,4.7137952,1.9520971
70195,139.49943,3.4109769,4.6823697,1.9734024
70196,139.50138,3.2772861,4.6333675,1.9899141
70197,139.50339,3.1430628,4.5774412,2.0037625
70198,139.50538,3.0040457,4.5119276,2.0165455
70199,139.50739,2.8623655,4.4405551,2.0234699
70200,139.50931,2.7174897,4.3601274,2.0287962
70201,139.51133,2.5747442,4.2743735,2.0282636
70202,139.51331,2.433064,4.1784997,2.0240026
70203,139.51529,2.2903185,4.0778322,2.0197413
70204,139.51725,2.143312,3.97823,2.0165455
70205,139.51923,1.9963056,3.8701057,2.0026972
70206,139.52122,1.8540928,3.7635794,1.9941751
70207,139.52323,1.7108147,3.6533244,1.979794
70208,139.52518,1.5659387,3.5409391,1.9616845
70209,139.5272,1.427987,3.4317493,1.9489013
70210,139.52915,1.2921658,3.3268209,1.9371834
70211,139.53116,1.1653993,3.2229576,1.9238676
70212,139.53309,1.0466223,3.1377366,1.9078887
70213,139.53507,0.9507485,3.0828753,1.901497
70214,139.53705,0.86872315,3.0716901,1.8961707
70215,139.53904,0.81013364,3.0908649,1.8945729
70216,139.54096,0.76326197,3.1425302,1.8956381
70217,139.54294,0.73556513,3.222425,1.9020296
70218,139.54496,0.7142598,3.3193641,1.9078887
70219,139.54697,0.69348717,3.4221621,1.9132149
70220,139.54889,0.66685557,3.512177,1.9222697
70221,139.55091,0.63276708,3.5856802,1.9222697
70222,139.55292,0.58696073,3.6282907,1.9196066
70223,139.55494,0.52783853,3.6405413,1.9110844
70224,139.55686,0.4543353,3.619236,1.9046929
70225,139.55884,0.36165729,3.5563853,1.8855181
70226,139.56083,0.25779399,3.4557178,1.8620822
70227,139.56284,0.14274544,3.3204293,1.8322549
70228,139.56482,0.0053263223,3.1478565,1.8050907
70229,139.56681,-0.13635385,2.9459889,1.7704695
70230,139.56879,-0.29134983,2.7174897,1.7379789
70231,139.57078,-0.4495416,2.463424,1.7022926
70232,139.57273,-0.61465758,2.1928468,1.6639431
70233,139.57474,-0.7845673,1.9100192,1.6277241
70234,139.57673,-0.95128113,1.6181368,1.5893745
70235,139.57871,-1.1132014,1.3241237,1.5558188
70236,139.58066,-1.2793826,1.0354371,1.5227956
70237,139.58268,-1.4365091,0.74781567,1.4919028
70238,139.58466,-1.5861788,0.47137952,1.4626081
70239,139.58668,-1.7230653,0.20772657,1.4354439
70240,139.5886,-1.8482338,-0.018109497,1.4104102
70241,139.59061,-1.9489013,-0.20240025,1.3837786
70242,139.59263,-2.0271983,-0.33928671,1.3587449
70243,139.59458,-2.0730047,-0.42823631,1.335309
70244,139.59653,-2.0916467,-0.47244477,1.3177321
70245,139.59852,-2.0724721,-0.47510794,1.29909
70246,139.6005,-2.0271983,-0.43782368,1.2799152
70247,139.60251,-1.9563582,-0.37230992,1.2554141
70248,139.60447,-1.8684739,-0.2908172,1.220793
70249,139.60645,-1.7715348,-0.19920446,1.1744541
70250,139.6084,-1.6740631,-0.096939065,1.109473
70251,139.61042,-1.5744609,0.010120012,1.0263823
70252,139.61237,-1.4865766,0.11504856,0.93157375
70253,139.61435,-1.407747,0.21624869,0.82025361
70254,139.61634,-1.3432984,0.30679616,0.70733559
70255,139.61835,-1.2863069,0.38722363,0.58909124
70256,139.62028,-1.2383699,0.46498793,0.47031426
70257,139.62226,-1.190433,0.5454154,0.35420042
70258,139.62427,-1.1435614,0.63329971,0.23702134
70259,139.62629,-1.0823087,0.72437984,0.128897
70260,139.62821,-1.045557,0.77125144,0.072970614
70261,139.63019,-0.96246642,0.8676579,-0.033023197
70262,139.63221,-0.86073369,0.97471696,-0.13422333
70263,139.63422,-0.74728304,1.0913634,-0.23222765
70264,139.63614,-0.63329971,1.2037488,-0.32011196
70265,139.63813,-0.50972903,1.3113406,-0.4000068
70266,139.64011,-0.3920173,1.4072144,-0.46818373
